Type de résidence principale,2010,2015,2021,code_insee,Ville
Ensemble des résidences principales,"3,5","3,5","3,5",01053,bourg-en-bresse
Maison,"5,0","4,9","4,9",01053,bourg-en-bresse
Appartement,"3,1","3,1","3,1",01053,bourg-en-bresse
Ensemble des résidences principales,"3,7","3,7","3,6",01283,oyonnax
Maison,"4,8","4,8","4,8",01283,oyonnax
Appartement,"3,3","3,3","3,2",01283,oyonnax
Ensemble des résidences principales,"3,8","3,8","3,7",02408,laon
Maison,"4,6","4,7","4,6",02408,laon
Appartement,"3,2","3,1","3,0",02408,laon
Ensemble des résidences principales,"3,9","3,9","3,8",02691,saint-quentin
Maison,"4,6","4,6","4,6",02691,saint-quentin
Appartement,"3,1","3,1","3,0",02691,saint-quentin
Ensemble des résidences principales,"3,7","3,6","3,6",02722,soissons
Maison,"4,8","4,8","4,9",02722,soissons
Appartement,"3,1","3,1","3,1",02722,soissons
Ensemble des résidences principales,"3,6","3,5","3,6",03185,montlucon
Maison,"4,4","4,4","4,4",03185,montlucon
Appartement,"3,0","2,9","3,0",03185,montlucon
Ensemble des résidences principales,"3,2","3,3","3,3",03310,vichy
Maison,"4,6","4,6","4,9",03310,vichy
Appartement,"2,7","2,8","2,9",03310,vichy
Ensemble des résidences principales,"3,7","3,8","3,7",04112,manosque
Maison,"4,5","4,5","4,5",04112,manosque
Appartement,"3,1","3,1","3,1",04112,manosque
Ensemble des résidences principales,"3,8","3,7","3,8",05061,gap
Maison,"4,9","4,9","4,9",05061,gap
Appartement,"3,2","3,1","3,2",05061,gap
Ensemble des résidences principales,"2,9","2,9","2,9",06004,antibes
Maison,"4,2","4,3","4,4",06004,antibes
Appartement,"2,6","2,6","2,6",06004,antibes
Ensemble des résidences principales,"2,9","3,0","2,9",06027,cagnes-sur-mer
Maison,"4,1","4,2","4,2",06027,cagnes-sur-mer
Appartement,"2,6","2,5","2,5",06027,cagnes-sur-mer
Ensemble des résidences principales,"2,8","2,8","2,8",06029,cannes
Maison,"4,1","4,0","4,2",06029,cannes
Appartement,"2,7","2,7","2,7",06029,cannes
Ensemble des résidences principales,"2,9","2,8","2,9",06030,le-cannet
Maison,"4,0","4,0","4,2",06030,le-cannet
Appartement,"2,7","2,6","2,7",06030,le-cannet
Ensemble des résidences principales,"3,4","3,4","3,5",06069,grasse
Maison,"4,4","4,4","4,5",06069,grasse
Appartement,"2,9","2,9","2,9",06069,grasse
Ensemble des résidences principales,"2,9","2,9","3,0",06079,mandelieu-la-napoule
Maison,"4,3","4,3","4,4",06079,mandelieu-la-napoule
Appartement,"2,6","2,6","2,6",06079,mandelieu-la-napoule
Ensemble des résidences principales,"2,8","2,9","2,8",06083,menton
Maison,"4,0","4,0","4,0",06083,menton
Appartement,"2,6","2,7","2,7",06083,menton
Ensemble des résidences principales,"2,8","2,8","2,8",06088,nice
Maison,"4,2","4,2","4,3",06088,nice
Appartement,"2,7","2,7","2,7",06088,nice
Ensemble des résidences principales,"3,0","3,0","3,0",06123,saint-laurent-du-var
Maison,"4,1","4,1","4,3",06123,saint-laurent-du-var
Appartement,"2,8","2,7","2,7",06123,saint-laurent-du-var
Ensemble des résidences principales,"3,0","3,0","3,0",06155,vallauris
Maison,"4,3","4,2","4,3",06155,vallauris
Appartement,"2,5","2,6","2,5",06155,vallauris
Ensemble des résidences principales,"3,6","3,7","3,8",08105,charleville-mezieres
Maison,"4,7","4,8","4,8",08105,charleville-mezieres
Appartement,"3,1","3,2","3,2",08105,charleville-mezieres
Ensemble des résidences principales,"3,3","3,2","3,1",10387,troyes
Maison,"4,7","4,5","4,6",10387,troyes
Appartement,"3,0","2,8","2,8",10387,troyes
Ensemble des résidences principales,"3,8","3,8","3,9",11069,carcassonne
Maison,"4,6","4,7","4,7",11069,carcassonne
Appartement,"2,9","2,9","2,9",11069,carcassonne
Ensemble des résidences principales,"3,7","3,6","3,5",11262,narbonne
Maison,"4,5","4,5","4,5",11262,narbonne
Appartement,"3,0","2,9","2,8",11262,narbonne
Ensemble des résidences principales,"3,9","3,9","3,9",12145,millau
Maison,"4,8","4,7","4,7",12145,millau
Appartement,"3,3","3,2","3,2",12145,millau
Ensemble des résidences principales,"3,5","3,4","3,3",12202,rodez
Maison,"5,2","5,2","5,2",12202,rodez
Appartement,"3,0","3,0","2,9",12202,rodez
Ensemble des résidences principales,"3,3","3,3","3,2",13001,aix-en-provence
Maison,"4,9","4,9","5,0",13001,aix-en-provence
Appartement,"2,8","2,8","2,7",13001,aix-en-provence
Ensemble des résidences principales,"4,1","4,1","4,1",13002,allauch
Maison,"4,3","4,4","4,4",13002,allauch
Appartement,"3,4","3,0","3,0",13002,allauch
Ensemble des résidences principales,"3,7","3,7","3,8",13004,arles
Maison,"4,2","4,3","4,3",13004,arles
Appartement,"3,1","3,0","3,1",13004,arles
Ensemble des résidences principales,"3,6","3,7","3,6",13005,aubagne
Maison,"4,4","4,4","4,4",13005,aubagne
Appartement,"3,2","3,2","3,1",13005,aubagne
Ensemble des résidences principales,"3,5","3,4","3,4",13028,la-ciotat
Maison,"4,3","4,4","4,3",13028,la-ciotat
Appartement,"3,0","3,0","2,9",13028,la-ciotat
Ensemble des résidences principales,"3,8","3,7","3,6",13041,gardanne
Maison,"4,3","4,3","4,3",13041,gardanne
Appartement,"3,1","3,1","3,0",13041,gardanne
Ensemble des résidences principales,"4,0","3,9","3,8",13047,istres
Maison,"4,5","4,4","4,5",13047,istres
Appartement,"3,4","3,2","3,1",13047,istres
Ensemble des résidences principales,"3,7","3,8","3,7",13054,marignane
Maison,"4,3","4,4","4,4",13054,marignane
Appartement,"3,3","3,3","3,2",13054,marignane
Ensemble des résidences principales,"3,2","3,2","3,1",13055,marseille
Maison,"4,2","4,2","4,2",13055,marseille
Appartement,"3,0","3,0","2,9",13055,marseille
Ensemble des résidences principales,"3,7","3,6","3,6",13056,martigues
Maison,"4,3","4,3","4,4",13056,martigues
Appartement,"3,4","3,2","3,1",13056,martigues
Ensemble des résidences principales,"3,9","3,7","3,7",13063,miramas
Maison,"4,4","4,2","4,3",13063,miramas
Appartement,"3,3","3,3","3,2",13063,miramas
Ensemble des résidences principales,"4,1","4,0","4,0",13071,les-pennes-mirabeau
Maison,"4,3","4,2","4,3",13071,les-pennes-mirabeau
Appartement,"3,5","3,3","3,3",13071,les-pennes-mirabeau
Ensemble des résidences principales,"3,8","3,7","3,7",13103,salon-de-provence
Maison,"4,6","4,6","4,7",13103,salon-de-provence
Appartement,"3,2","3,2","3,1",13103,salon-de-provence
Ensemble des résidences principales,"3,9","3,9","3,8",13117,vitrolles
Maison,"4,5","4,5","4,5",13117,vitrolles
Appartement,"3,4","3,3","3,3",13117,vitrolles
Ensemble des résidences principales,"3,1","3,1","3,0",14118,caen
Maison,"4,9","4,9","5,1",14118,caen
Appartement,"2,7","2,7","2,7",14118,caen
Ensemble des résidences principales,"3,4","3,4","3,3",14327,herouville-saint-clair
Maison,"4,8","4,8","4,8",14327,herouville-saint-clair
Appartement,"2,9","3,0","3,0",14327,herouville-saint-clair
Ensemble des résidences principales,"3,8","3,6","3,6",15014,aurillac
Maison,"5,1","4,9","4,9",15014,aurillac
Appartement,"3,2","3,0","3,0",15014,aurillac
Ensemble des résidences principales,"3,6","3,5","3,5",16015,angouleme
Maison,"4,5","4,5","4,5",16015,angouleme
Appartement,"2,8","2,8","2,7",16015,angouleme
Ensemble des résidences principales,"3,6","3,6","3,6",17299,rochefort
Maison,"4,3","4,3","4,4",17299,rochefort
Appartement,"2,9","2,8","2,7",17299,rochefort
Ensemble des résidences principales,"3,2","3,2","3,2",17300,la-rochelle
Maison,"4,4","4,4","4,6",17300,la-rochelle
Appartement,"2,6","2,6","2,6",17300,la-rochelle
Ensemble des résidences principales,"3,7","3,8","3,8",17415,saintes
Maison,"4,4","4,5","4,5",17415,saintes
Appartement,"2,7","2,7","2,8",17415,saintes
Ensemble des résidences principales,"3,6","3,7","3,7",18033,bourges
Maison,"4,5","4,5","4,7",18033,bourges
Appartement,"2,9","2,8","2,9",18033,bourges
Ensemble des résidences principales,"3,9","3,8","3,9",18279,vierzon
Maison,"4,3","4,2","4,4",18279,vierzon
Appartement,"2,9","2,8","2,8",18279,vierzon
Ensemble des résidences principales,"3,7","3,7","3,7",19031,brive-la-gaillarde
Maison,"4,5","4,6","4,6",19031,brive-la-gaillarde
Appartement,"2,9","2,8","2,8",19031,brive-la-gaillarde
Ensemble des résidences principales,"3,7","3,7","3,7",21054,beaune
Maison,"4,8","4,9","5,0",21054,beaune
Appartement,"2,9","2,9","2,9",21054,beaune
Ensemble des résidences principales,"3,2","3,1","3,1",21231,dijon
Maison,"4,8","4,8","4,9",21231,dijon
Appartement,"2,8","2,8","2,8",21231,dijon
Ensemble des résidences principales,"4,1","4,1","4,1",22113,lannion
Maison,"5,0","5,0","5,0",22113,lannion
Appartement,"2,6","2,6","2,6",22113,lannion
Ensemble des résidences principales,"3,8","3,8","3,8",22278,saint-brieuc
Maison,"5,0","5,1","5,1",22278,saint-brieuc
Appartement,"2,9","2,9","2,8",22278,saint-brieuc
Ensemble des résidences principales,"3,9","3,8","3,8",24037,bergerac
Maison,"4,5","4,4","4,4",24037,bergerac
Appartement,"2,7","2,7","2,7",24037,bergerac
Ensemble des résidences principales,"3,4","3,4","3,3",24322,perigueux
Maison,"4,7","4,7","4,8",24322,perigueux
Appartement,"2,8","2,8","2,7",24322,perigueux
Ensemble des résidences principales,"3,3","3,3","3,3",25056,besancon
Maison,"5,2","5,2","5,3",25056,besancon
Appartement,"3,0","3,0","3,0",25056,besancon
Ensemble des résidences principales,"3,7","3,6","3,7",25388,montbeliard
Maison,"5,0","5,0","5,2",25388,montbeliard
Appartement,"3,3","3,2","3,3",25388,montbeliard
Ensemble des résidences principales,"4,0","3,9","3,9",26198,montelimar
Maison,"4,8","4,8","4,8",26198,montelimar
Appartement,"3,1","3,0","3,1",26198,montelimar
Ensemble des résidences principales,"3,8","3,8","3,7",26281,romans-sur-isere
Maison,"4,7","4,6","4,6",26281,romans-sur-isere
Appartement,"3,1","3,2","3,1",26281,romans-sur-isere
Ensemble des résidences principales,"3,6","3,6","3,5",26362,valence
Maison,"4,9","4,9","5,0",26362,valence
Appartement,"3,2","3,1","3,1",26362,valence
Ensemble des résidences principales,"3,4","3,4","3,4",27229,evreux
Maison,"4,6","4,6","4,6",27229,evreux
Appartement,"2,9","2,8","2,9",27229,evreux
Ensemble des résidences principales,"3,7","3,7","3,7",27681,vernon
Maison,"4,9","4,8","4,9",27681,vernon
Appartement,"2,9","2,8","2,8",27681,vernon
Ensemble des résidences principales,"3,4","3,4","3,4",28085,chartres
Maison,"4,9","4,9","4,9",28085,chartres
Appartement,"2,8","2,8","2,8",28085,chartres
Ensemble des résidences principales,"3,7","3,6","3,7",28134,dreux
Maison,"4,5","4,5","4,6",28134,dreux
Appartement,"3,1","3,0","3,1",28134,dreux
Ensemble des résidences principales,"3,6","3,5","3,6",29019,brest
Maison,"5,1","5,1","5,2",29019,brest
Appartement,"3,1","3,0","3,0",29019,brest
Ensemble des résidences principales,"4,2","4,1","4,2",29039,concarneau
Maison,"4,9","4,9","5,0",29039,concarneau
Appartement,"3,0","2,9","2,9",29039,concarneau
Ensemble des résidences principales,"3,9","3,9","3,9",29232,quimper
Maison,"5,1","5,1","5,1",29232,quimper
Appartement,"2,7","2,7","2,7",29232,quimper
Ensemble des résidences principales,"3,5","3,4","3,4",2A004,ajaccio
Maison,"4,4","4,3","4,4",2A004,ajaccio
Appartement,"3,4","3,3","3,3",2A004,ajaccio
Ensemble des résidences principales,"3,4","3,5","3,4",2B033,bastia
Maison,"4,4","4,5","4,7",2B033,bastia
Appartement,"3,3","3,4","3,3",2B033,bastia
Ensemble des résidences principales,"3,7","3,6","3,5",30007,ales
Maison,"4,5","4,4","4,4",30007,ales
Appartement,"3,2","3,1","3,0",30007,ales
Ensemble des résidences principales,"3,5","3,4","3,4",30189,nimes
